iter	RMSE
0	36.82701307
1	35.70910296
2	34.6870392
3	33.72327738
4	32.81633067
5	31.98558256
6	31.21616826
7	30.49193839
8	29.82001187
9	29.19345267
10	28.61607585
11	28.10025182
12	27.61781387
13	27.16616692
14	26.75224715
15	26.36948583
16	26.02313731
17	25.70007698
18	25.40948612
19	25.14154532
20	24.89307036
21	24.66608658
22	24.45652072
23	24.26833632
24	24.09982918
25	23.94271209
26	23.80469258
27	23.67454116
28	23.55495599
29	23.44832663
30	23.34438532
31	23.24856205
32	23.16552176
33	23.0877623
34	23.01631953
35	22.95255128
36	22.89394438
37	22.84013864
38	22.78815988
39	22.74007761
40	22.69385436
41	22.65708141
42	22.61881451
43	22.58781936
44	22.55926731
45	22.53152442
46	22.50795035
47	22.48429846
48	22.45777635
49	22.4380826
50	22.4164834
51	22.39921529
52	22.38398058
53	22.36964
54	22.35575405
55	22.34305174
56	22.32775516
57	22.31731473
58	22.30724213
59	22.29350567
60	22.2795226
61	22.27140641
62	22.26457958
63	22.256668
64	22.24993747
65	22.24412645
66	22.23791163
67	22.23213675
68	22.22341504
69	22.21825699
70	22.21033736
71	22.20429865
72	22.19950839
73	22.19366434
74	22.18923091
75	22.18517334
76	22.17968924
77	22.17602869
78	22.1713017
79	22.16561843
80	22.16245614
81	22.15580653
82	22.153287
83	22.14952343
84	22.14651384
85	22.14386669
86	22.13734022
87	22.13355298
88	22.12973389
89	22.12442906
90	22.12157732
91	22.11799446
92	22.11433806
93	22.11059179
94	22.10648923
95	22.10348668
96	22.09978445
97	22.09687437
98	22.0950297
99	22.09283032
100	22.08872703
101	22.08661438
102	22.08498629
103	22.08315982
104	22.08111564
105	22.07973124
106	22.07602296
107	22.07381022
108	22.07200489
109	22.07102167
110	22.06756485
111	22.06457553
112	22.06068068
113	22.05761953
114	22.05613715
115	22.05367291
116	22.05220265
117	22.04814546
118	22.04701787
119	22.04583296
120	22.04290917
121	22.03994733
122	22.03719883
123	22.035109
124	22.03283196
125	22.03150869
126	22.02773312
127	22.02457946
128	22.02300226
129	22.02027617
130	22.01909294
131	22.01809827
132	22.01602835
133	22.01366889
134	22.01168323
135	22.00764939
136	22.00636667
137	22.00537439
138	22.0017155
139	21.99804152
140	21.99718678
141	21.99458382
142	21.99123078
143	21.98886396
144	21.98722429
145	21.98427664
146	21.9820704
147	21.98038324
148	21.97792794
149	21.97582543
150	21.97259822
151	21.97046113
152	21.9687281
153	21.96701635
154	21.96503422
155	21.96257929
156	21.96008767
157	21.9581684
158	21.95705391
159	21.95625524
160	21.95474579
161	21.95194551
162	21.95083309
163	21.94871513
164	21.9474871
165	21.94586172
166	21.94353186
167	21.94262568
168	21.93969294
169	21.93823217
170	21.93742975
171	21.93498264
172	21.93395275
173	21.93018633
174	21.92810806
175	21.92553571
176	21.92480325
177	21.92225049
178	21.92065648
179	21.91835547
180	21.91688392
181	21.91350839
182	21.9111187
183	21.91006665
184	21.90803686
185	21.9054941
186	21.90270589
187	21.90109349
188	21.90019362
189	21.89877147
190	21.89718943
191	21.89529781
192	21.89207563
193	21.89184252
194	21.88882583
195	21.88739714
196	21.88591416
197	21.88399778
198	21.88156938
199	21.88024787
